ID;Nom;Latitude;Longitude;Altitude;Region
7005;ABBEVILLE;50.136000;1.834000;69;Hauts-de-France
7015;LILLE-LESQUIN;50.570000;3.097500;47;Hauts-de-France
7020;PTE DE LA HAGUE;49.725167;-1.939833;6;Normandie
7027;CAEN-CARPIQUET;49.180000;-0.456167;67;Normandie
7037;ROUEN-BOOS;49.383000;1.181667;151;Normandie
7072;REIMS-PRUNAY;49.209667;4.155333;95;Grand-Est
7110;BREST-GUIPAVAS;48.444167;-4.412000;94;Bretagne
7117;PLOUMANAC'H;48.825833;-3.473167;55;Bretagne
7130;RENNES-ST JACQUES;48.068833;-1.734000;36;Bretagne
7139;ALENCON;48.445500;0.110167;143;Pays de la Loire
7149;ORLY;48.716833;2.384333;89;Ile-de-France
7168;TROYES-BARBEREY;48.324667;4.020000;112;Grand-Est
7181;NANCY-OCHEY;48.581000;5.959833;336;Grand-Est
7190;STRASBOURG-ENTZHEIM;48.549500;7.640333;150;Grand-Est
7207;BELLE ILE-LE TALUT;47.294333;-3.218333;34;Bretagne
7222;NANTES-BOUGUENAIS;47.150000;-1.608833;26;Pays de la Loire
7240;TOURS;47.444500;0.727333;108;Centre-Val de Loire
7255;BOURGES;47.059167;2.359833;161;Centre-Val de Loire
7280;DIJON-LONGVIC;47.267833;5.088333;219;Bourgogne-Franche-Comte
7299;BALE-MULHOUSE;47.614333;7.510000;263;Grand-Est
7314;PTE DE CHASSIRON;46.046833;-1.411500;11;Nouvelle-Aquitaine
7335;POITIERS-BIARD;46.593833;0.314333;123;Nouvelle-Aquitaine
7434;LIMOGES-BELLEGARDE;45.861167;1.175000;402;Nouvelle-Aquitaine
7460;CLERMONT-FD;45.786833;3.149333;331;Auvergne Rhone-Alpes
7471;LE PUY-LOUDES;45.074500;3.764000;833;Auvergne Rhone-Alpes
7481;LYON-ST EXUPERY;45.726500;5.077833;235;Auvergne Rhone-Alpes
7510;BORDEAUX-MERIGNAC;44.830667;-0.691333;47;Nouvelle-Aquitaine
7535;GOURDON;44.745000;1.396667;260;Occitanie
7558;MILLAU;44.118500;3.019500;712;Occitanie
7577;MONTELIMAR;44.581167;4.733000;73;Auvergne-Rhone-Alpes
7591;EMBRUN;44.565667;6.502333;871;Provence-Alpes-Cotes d'Azur
7607;MONT-DE-MARSAN;43.909833;-0.500167;59;Nouvelle-Aquitaine
7621;TARBES-OSSUN;43.188000;0.000000;360;Occitanie
7627;ST GIRONS;43.005333;1.106833;414;Occitanie
7630;TOULOUSE-BLAGNAC;43.621000;1.378833;151;Occitanie
7643;MONTPELLIER;43.577000;3.963167;2;Occitanie
7650;MARIGNANE;43.437667;5.216000;9;Provence-Alpes-Cotes d'Azur
7661;CAP CEPET;43.079333;5.940833;115;Provence-Alpes-Cotes d'Azur
7690;NICE;43.648833;7.209000;2;Provence-Alpes-Cotes d'Azur
7747;PERPIGNAN;42.737167;2.872833;42;Occitanie
7761;AJACCIO;41.918000;8.792667;5;Hors France
7790;BASTIA;42.540667;9.485167;10;Hors France
61968;GLORIEUSES;-11.582667;47.289667;3;Hors France
61970;JUAN DE NOVA;-17.054667;42.712000;9;Hors France
61972;EUROPA;-22.344167;40.340667;6;Hors France
61976;TROMELIN;-15.887667;54.520667;7;Hors France
61980;GILLOT-AEROPORT;-20.892500;55.528667;8;Hors France
61996;NOUVELLE AMSTERDAM;-37.795167;77.569167;27;Hors France
61997;CROZET;-46.432500;51.856667;146;Hors France
61998;KERGUELEN;-49.352333;70.243333;29;Hors France
67005;PAMANDZI;-12.805500;45.282833;7;Hors France
71805;ST-PIERRE;46.766333;-56.179167;21;Hors France
78890;LA DESIRADE METEO;16.335000;-61.004000;27;Hors France
78894;ST-BARTHELEMY METEO;17.901500;-62.852167;44;Hors France
78897;LE RAIZET AERO;16.264000;-61.516333;11;Hors France
78922;TRINITE-CARAVEL;14.774500;-60.875333;26;Hors France
78925;LAMENTIN-AERO;14.595333;-60.995667;3;Hors France
81401;SAINT LAURENT;5.485500;-54.031667;5;Hors France
81405;CAYENNE-MATOURY;4.822333;-52.365333;4;Hors France
81408;SAINT GEORGES;3.890667;-51.804667;6;Hors France
81415;MARIPASOULA;3.640167;-54.028333;106;Hors France
89642;DUMONT D'URVILLE;-66.663167;140.001000;43;Hors France
